Galaxy,M_bar_Msun,R_dm_kpc,R_sol_kpc,Ratio
CamB,5.3460e+07,1.7900,0.2961,6.0452
D564-8,5.5070e+07,0.5100,0.2990,1.7054
D631-7,4.8370e+08,2.2500,0.6170,3.6466
DDO064,3.5913e+08,0.3000,0.5587,0.5370
DDO154,3.9225e+08,0.4900,0.5754,0.8516
DDO161,2.1067e+09,0.6000,1.0076,0.5955
DDO168,6.4479e+08,1.6400,0.6791,2.4151
DDO170,1.2490e+09,1.8700,0.8465,2.2091
ESO079-G014,3.0043e+10,0.4100,2.4435,0.1678
ESO116-G012,3.5864e+09,0.2500,1.2032,0.2078
ESO444-G084,2.1505e+08,0.2600,0.4709,0.5521
ESO563-G021,1.8790e+11,4.9000,4.5021,1.0884
F561-1,4.1958e+09,3.2300,1.2678,2.5478
F563-1,5.2075e+09,1.0700,1.3624,0.7854
F563-V1,1.5813e+09,1.3100,0.9157,1.4305
F563-V2,4.3778e+09,0.8700,1.2858,0.6766
F565-V2,1.2092e+09,1.2600,0.8374,1.5047
F567-2,4.3242e+09,1.9200,1.2806,1.4993
F568-1,9.1083e+09,0.4400,1.6415,0.2680
F568-3,8.4224e+09,1.1800,1.5992,0.7379
F568-V1,5.2255e+09,0.3900,1.3640,0.2859
F571-8,7.4521e+09,4.7700,1.5353,3.1069
F571-V1,2.5431e+09,1.9500,1.0729,1.8175
F574-1,7.9554e+09,0.4700,1.5691,0.2995
F579-V1,8.9098e+09,0.4200,1.6295,0.2577
F583-1,3.3206e+09,0.4400,1.1727,0.3752
F583-4,1.7100e+09,0.7600,0.9399,0.8086
IC2574,1.8859e+09,0.8500,0.9711,0.8753
IC4202,1.0627e+11,6.2700,3.7231,1.6841
KK98-251,1.9545e+08,0.5700,0.4562,1.2496
NGC0024,2.8436e+09,0.2100,1.1136,0.1886
NGC0055,4.3954e+09,3.0700,1.2876,2.3843
NGC0100,4.2627e+09,1.1500,1.2745,0.9023
NGC0247,5.9882e+09,1.0800,1.4274,0.7566
NGC0289,7.2566e+10,10.6000,3.2785,3.2332
NGC0300,2.7059e+09,0.9100,1.0953,0.8308
NGC0801,1.8714e+11,24.6100,4.4960,5.4738
NGC0891,7.5104e+10,13.4600,3.3163,4.0587
NGC1003,1.1230e+10,2.9000,1.7602,1.6475
NGC1090,4.7704e+10,5.0900,2.8507,1.7855
NGC1705,4.5137e+08,0.2200,0.6029,0.3649
NGC2366,9.7851e+08,0.5900,0.7804,0.7561
NGC2403,9.2752e+09,0.1600,1.6515,0.0969
NGC2683,4.2077e+10,8.6600,2.7339,3.1676
NGC2841,1.0706e+11,3.7700,3.7323,1.0101
NGC2903,4.4326e+10,8.6400,2.7818,3.1059
NGC2915,9.9614e+08,1.3400,0.7850,1.7070
NGC2955,1.9821e+11,16.8800,4.5830,3.6832
NGC2976,1.9143e+09,0.3800,0.9760,0.3894
NGC2998,1.0664e+11,0.3300,3.7274,0.0885
NGC3109,7.3141e+08,0.7700,0.7082,1.0873
NGC3198,3.3595e+10,1.9300,2.5363,0.7610
NGC3521,4.7943e+10,8.8200,2.8555,3.0888
NGC3726,4.3726e+10,22.3000,2.7692,8.0530
NGC3741,2.5606e+08,0.2300,0.4991,0.4608
NGC3769,1.6693e+10,6.9800,2.0088,3.4746
NGC3877,3.8240e+10,2.6100,2.6481,0.9856
NGC3893,3.6975e+10,6.9800,2.6186,2.6655
NGC3917,1.3494e+10,1.7400,1.8713,0.9298
NGC3949,2.3517e+10,6.1100,2.2520,2.7132
NGC3953,7.4417e+10,5.2400,3.3062,1.5849
NGC3972,8.7911e+09,1.7400,1.6222,1.0726
NGC3992,1.3554e+11,9.1900,4.0376,2.2761
NGC4010,1.2363e+10,0.8700,1.8175,0.4787
NGC4013,4.3493e+10,11.3100,2.7642,4.0916
NGC4051,5.1221e+10,5.2400,2.9191,1.7951
NGC4068,3.2282e+08,1.0600,0.5392,1.9659
NGC4085,1.2656e+10,6.2000,1.8318,3.3847
NGC4088,6.4584e+10,19.2800,3.1536,6.1136
NGC4100,3.3823e+10,2.6100,2.5420,1.0268
NGC4138,2.4028e+10,5.2400,2.2682,2.3102
NGC4157,6.3751e+10,15.6800,3.1400,4.9936
NGC4183,1.0082e+10,0.8700,1.6980,0.5124
